#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
28.4;28.1;3;0.000811;1;0
28.4;28.1;3.3;0.000586;1;0
28.4;28.1;3.6;0.000422;2;0
28.4;28.1;3.9;0.000288;2;0
28.4;28.1;4.2;0.000203;2;0
28.4;28.1;4.5;0.000137;2;0
28.4;28.1;4.8;0.000087;2;0
28.4;28.1;5.1;0.000058;2;0
28.4;28.1;5.4;0.000034;2;0
28.4;28.1;5.7;0.000022;2;0
28.4;28.1;6;0.000012;2;0
29.4;28.1;6;0.00001;2;0
29.4;28.1;5.7;0.000015;2;0
29.4;28.1;5.4;0.000023;2;0
29.4;28.1;5.1;0.000038;2;0
29.4;28.1;4.8;0.000052;2;0
29.4;28.1;4.5;0.000086;2;0
29.4;28.1;4.2;0.000128;2;0
29.4;28.1;3.9;0.000185;2;0
29.4;28.1;3.6;0.000261;2;0
29.4;28.1;3.3;0.000378;2;0
29.4;28.1;3;0.000512;1;0
29.4;28.1;2.7;0.000686;1;0
29.4;28.1;2.4;0.000917;1;0
29.4;28.1;2.1;0.00119;0;0
29.4;28.1;1.8;0.001517;0;0
29.4;28.1;1.5;0.001927;0;0
29.4;28.1;1.2;0.002378;0;0
29.4;28.1;0.9;0.0029;0;0
29.4;28.1;0.6;0.003445;0;0
29.4;28.1;0.3;0.004055;0;0
29.4;28.1;0;0.00457;0;0
